TRANSACTION_ID,ACCOUNT_ID,TRANSACTION_DATE,POSTED_TS,TRANSACTION_TYPE,TRANSACTION_CHANNEL,DEBIT_CREDIT_INDICATOR,AMOUNT,SIGNED_AMOUNT,DESCRIPTION,MERCHANT_NAME,BRANCH_ID,REFERENCE_NUMBER,TRANSACTION_STATUS,CREATED_TS
1,25,2025-07-28,2025-07-30 01:50:18,WITHDRAWAL,ATM,DEBIT,692.32,-692.32,Synthetic withdrawal transaction,,,TXN00000000000001,POSTED,2025-07-28 00:00:00
2,72,2026-02-16,2026-02-18 11:45:39,DEBIT_CARD,CARD,DEBIT,432.78,-432.78,Synthetic debit card transaction,Online Marketplace,,TXN00000000000002,POSTED,2026-02-16 00:00:00
3,102,2013-09-11,2013-09-13 23:58:43,DEBIT_CARD,CARD,DEBIT,174.58,-174.58,Synthetic debit card transaction,Home Supply Center,,TXN00000000000003,POSTED,2013-09-11 00:00:00
4,21,2021-11-14,2021-11-15 20:04:01,DEPOSIT,BRANCH,CREDIT,2801.09,2801.09,Synthetic deposit transaction,,12.0,TXN00000000000004,POSTED,2021-11-14 00:00:00
5,102,2014-01-17,2014-01-17 13:31:30,ACH,ACH,CREDIT,3329.4,3329.4,Synthetic ach transaction,,,TXN00000000000005,POSTED,2014-01-17 00:00:00
6,150,2026-01-20,2026-01-22 09:04:52,DEBIT_CARD,CARD,DEBIT,39.67,-39.67,Synthetic debit card transaction,Metro Fuel,,TXN00000000000006,POSTED,2026-01-20 00:00:00
7,40,2022-12-12,2022-12-12 06:21:24,DEBIT_CARD,CARD,DEBIT,201.8,-201.8,Synthetic debit card transaction,River Cafe,,TXN00000000000007,POSTED,2022-12-12 00:00:00
8,48,2018-09-26,2018-09-28 09:07:15,DEBIT_CARD,CARD,DEBIT,161.2,-161.2,Synthetic debit card transaction,North Star Grocery,,TXN00000000000008,POSTED,2018-09-26 00:00:00
9,84,2025-04-13,2025-04-15 23:13:42,DEBIT_CARD,CARD,DEBIT,327.01,-327.01,Synthetic debit card transaction,Online Marketplace,,TXN00000000000009,POSTED,2025-04-13 00:00:00
10,63,2021-12-06,2021-12-06 12:10:32,DEBIT_CARD,CARD,DEBIT,137.61,-137.61,Synthetic debit card transaction,Pine Pharmacy,,TXN00000000000010,POSTED,2021-12-06 00:00:00
11,112,2014-01-31,2014-02-01 19:14:22,DEBIT_CARD,CARD,DEBIT,425.07,-425.07,Synthetic debit card transaction,Home Supply Center,,TXN00000000000011,POSTED,2014-01-31 00:00:00
12,51,2024-10-11,2024-10-12 00:22:29,ACH,ACH,CREDIT,4829.36,4829.36,Synthetic ach transaction,,,TXN00000000000012,POSTED,2024-10-11 00:00:00
13,111,2024-12-14,2024-12-15 04:59:56,DEPOSIT,MOBILE,CREDIT,5758.54,5758.54,Synthetic deposit transaction,,,TXN00000000000013,POSTED,2024-12-14 00:00:00
14,82,2012-09-24,2012-09-25 02:34:46,DEPOSIT,MOBILE,CREDIT,3378.0,3378.0,Synthetic deposit transaction,,,TXN00000000000014,POSTED,2012-09-24 00:00:00
